ID,WasteType,WasteAmount,Latitude,Longitude,Temperature,WeatherType,DateTime
713,Paper/Cardboard,9,51.6,4.805,14.8,Sunny,2025-09-11 18:25:00
714,Plastic,6,51.615,4.76,16.6,Fog,2025-09-11 19:47:00
715,Residual,9,51.605,4.816,12.0,Sunny,2025-09-12 06:22:00
716,Glass,11,51.5886,4.7766,13.0,Storm,2025-09-12 10:18:00
717,Cans,13,51.58987121128362,4.771480379472927,8.1,Fog,2025-09-12 11:30:00
718,Glass,16,51.5887,4.775,17.2,Sunny,2025-09-12 12:28:00
719,Residual,8,51.55,4.812,18.0,Cloudy,2025-09-12 12:31:00
720,Plastic,13,51.5882897879896,4.775931569847437,8.4,Cloudy,2025-09-12 12:36:00
721,Paper/Cardboard,4,51.605,4.816,12.8,Storm,2025-09-12 13:04:00
722,Glass,19,51.588138855223896,4.777744886361129,20.0,Sunny,2025-09-12 14:41:00
723,Plastic,19,51.58494843176785,4.7727428129105816,19.7,Fog,2025-09-12 15:02:00
724,Plastic,19,51.58974901475057,4.772011188760362,16.2,Sunny,2025-09-12 16:05:00
725,Cans,15,51.5894367132254,4.776693167971687,11.7,Rain,2025-09-12 16:15:00
726,Plastic,11,51.59130231669731,4.776266843082055,15.8,Storm,2025-09-12 17:14:00
727,Plastic,15,51.58870660886817,4.770905049014572,16.7,Cloudy,2025-09-12 17:45:00
728,Paper/Cardboard,13,51.58809238642695,4.777485660767737,14.2,Storm,2025-09-12 18:28:00
729,Cans,12,51.586,4.756,10.6,Sunny,2025-09-12 18:47:00
730,Paper/Cardboard,13,51.58762403614569,4.771579575687357,11.3,Storm,2025-09-12 19:31:00
731,Residual,12,51.58888217993357,4.774179900765272,19.9,Storm,2025-09-12 19:58:00
732,Paper/Cardboard,14,51.58777825143484,4.7759205514243215,16.0,Storm,2025-09-12 20:36:00
733,Plastic,17,51.590723320827415,4.774508558452676,11.4,Cloudy,2025-09-12 21:41:00
734,Residual,13,51.59162288858449,4.772785908635913,10.6,Rain,2025-09-12 21:45:00
735,Plastic,12,51.59196344087222,4.775391785669935,12.7,Storm,2025-09-12 22:00:00
736,Cans,14,51.59014252665003,4.7760262593171845,7.6,Rain,2025-09-12 22:20:00
737,Glass,15,51.58854760212256,4.775646395193718,15.4,Fog,2025-09-12 22:38:00
738,Paper/Cardboard,15,51.58610317904208,4.772660671207813,11.2,Cloudy,2025-09-13 00:43:00
739,Cans,12,51.59011325596768,4.774080988037038,9.1,Rain,2025-09-13 00:48:00
740,Bulky,8,51.602,4.779,20.4,Sunny,2025-09-13 02:04:00
741,Residual,6,51.6,4.805,14.7,Fog,2025-09-13 02:16:00
742,Cans,15,51.58948090986411,4.775992686068681,16.8,Cloudy,2025-09-13 03:33:00
743,Plastic,5,51.576,4.796,12.5,Cloudy,2025-09-13 05:03:00
744,Paper/Cardboard,14,51.588867242154826,4.773887616082302,9.1,Rain,2025-09-13 07:47:00
745,Residual,18,51.59065486100143,4.7748300931985845,13.0,Sunny,2025-09-13 08:48:00
746,Cans,11,51.58706598269852,4.775595866353937,11.0,Storm,2025-09-13 08:51:00
747,Plastic,18,51.5883672760503,4.774501831478326,10.8,Sunny,2025-09-13 09:10:00
748,Plastic,17,51.588156919122994,4.775266013163977,13.3,Sunny,2025-09-13 13:17:00
749,Plastic,18,51.590595423513186,4.776444142385082,16.6,Sunny,2025-09-13 13:41:00
750,Paper/Cardboard,20,51.58705103756862,4.77630118557565,16.2,Sunny,2025-09-13 15:32:00
751,Electronics,5,51.605,4.816,7.0,Storm,2025-09-13 16:02:00
752,Residual,13,51.5871274277567,4.775192114278235,10.2,Storm,2025-09-13 17:06:00
753,Cans,15,51.58807391542815,4.773363004795179,17.4,Rain,2025-09-13 17:10:00
754,Paper/Cardboard,13,51.59140717177914,4.775184253316868,10.7,Storm,2025-09-13 17:16:00
755,Cans,17,51.58756638290579,4.778168413974756,9.8,Cloudy,2025-09-13 17:20:00
756,Plastic,15,51.587869923782435,4.769756692156192,14.0,Rain,2025-09-13 18:00:00
757,Cans,12,51.593569065337704,4.774519965696367,12.3,Storm,2025-09-13 19:34:00
758,Paper/Cardboard,17,51.589694574736,4.773361142046804,18.1,Cloudy,2025-09-13 22:17:00
759,Residual,18,51.58593453021115,4.77624310152092,13.6,Sunny,2025-09-13 23:54:00
760,Plastic,9,51.571,4.808,18.6,Cloudy,2025-09-14 01:20:00
761,Glass,15,51.5955,4.78,7.8,Sunny,2025-09-14 01:49:00
762,Paper/Cardboard,14,51.58778289848115,4.774530763922958,18.7,Cloudy,2025-09-14 03:20:00
763,Glass,12,51.587529242996055,4.774258579231054,10.3,Cloudy,2025-09-14 04:30:00
764,Plastic,15,51.589815419285934,4.773351450519298,14.7,Fog,2025-09-14 05:09:00
765,Residual,14,51.58978888782702,4.769756597668152,14.3,Cloudy,2025-09-14 05:15:00
766,Glass,13,51.58772334115186,4.774719938708093,14.9,Cloudy,2025-09-14 06:33:00
767,Plastic,16,51.590647327022694,4.777483919993628,17.4,Cloudy,2025-09-14 06:40:00
768,Residual,13,51.5848569909389,4.777257982201925,13.3,Cloudy,2025-09-14 06:47:00
769,Paper/Cardboard,3,51.612,4.756,8.6,Storm,2025-09-14 06:52:00
770,Cans,9,51.58756543965218,4.774552923516891,9.3,Storm,2025-09-14 08:00:00
771,Residual,14,51.58900230985965,4.777044604697385,10.7,Fog,2025-09-14 08:46:00
772,Plastic,17,51.5863428059,4.773002144297714,14.8,Sunny,2025-09-14 08:50:00
773,Plastic,13,51.5839843500092,4.775735321986555,5.5,Rain,2025-09-14 08:55:00
774,Glass,11,51.58188257584706,4.7798224880792795,15.4,Storm,2025-09-14 09:37:00
775,Glass,14,51.58591859083997,4.77503288796699,19.1,Rain,2025-09-14 09:57:00
776,Plastic,17,51.589757535271424,4.776256115685485,13.4,Cloudy,2025-09-14 10:10:00
777,Residual,14,51.593183049778276,4.774564765800381,15.4,Cloudy,2025-09-14 11:36:00
778,Residual,18,51.59004202485443,4.774095119320975,17.3,Sunny,2025-09-14 12:14:00
779,Residual,14,51.58871442492567,4.776792633632353,7.7,Rain,2025-09-14 13:35:00
780,Cans,12,51.56,4.77,14.5,Cloudy,2025-09-14 13:56:00
781,Plastic,20,51.58831887537109,4.7734939065216135,16.7,Sunny,2025-09-14 14:57:00
782,Plastic,17,51.5832,4.7842,15.2,Fog,2025-09-14 15:48:00
783,Residual,18,51.58671493438501,4.775131543350375,14.0,Cloudy,2025-09-14 16:19:00
784,Plastic,12,51.58451783431373,4.772578164329601,15.7,Storm,2025-09-14 17:10:00
785,Plastic,17,51.59039773184527,4.77467924672811,8.5,Cloudy,2025-09-14 17:42:00
786,Cans,15,51.593467722075964,4.774867614734623,12.0,Cloudy,2025-09-14 18:28:00
787,Cans,14,51.58704005444604,4.77165010737005,12.2,Rain,2025-09-14 19:15:00
788,Paper/Cardboard,14,51.587049270407825,4.77467315030167,10.0,Rain,2025-09-14 19:53:00
789,Glass,15,51.58830515616467,4.776112055749519,11.0,Rain,2025-09-14 21:08:00
790,Paper/Cardboard,16,51.5955,4.78,8.1,Cloudy,2025-09-14 23:35:00
791,Glass,4,51.579,4.743,17.3,Fog,2025-09-15 01:50:00
792,Electronics,5,51.55,4.812,8.5,Sunny,2025-09-15 10:13:00
793,Bulky,1,51.568,4.73,15.0,Storm,2025-09-15 10:58:00
794,Residual,7,51.573,4.766,10.4,Fog,2025-09-15 14:06:00
795,Cans,10,51.556,4.779,14.5,Cloudy,2025-09-15 16:00:00
796,Paper/Cardboard,8,51.5955,4.78,15.3,Fog,2025-09-15 23:47:00
797,Residual,4,51.5905,4.801,14.6,Rain,2025-09-16 03:37:00
798,Plastic,3,51.5905,4.801,9.5,Storm,2025-09-16 08:38:00
799,Paper/Cardboard,10,51.5905,4.801,15.1,Sunny,2025-09-16 13:38:00
800,Glass,6,51.5905,4.801,16.7,Storm,2025-09-16 16:28:00
801,Residual,3,51.576,4.796,13.1,Storm,2025-09-16 22:34:00
802,Bulky,2,51.612,4.756,5.5,Storm,2025-09-17 08:24:00
803,Bulky,1,51.599,4.717,11.7,Storm,2025-09-17 11:23:00
804,Residual,8,51.573,4.766,10.3,Cloudy,2025-09-17 14:07:00
805,Glass,11,51.5862,4.7805,11.6,Cloudy,2025-09-17 15:23:00
806,Paper/Cardboard,6,51.579,4.743,18.0,Rain,2025-09-17 16:01:00
807,Residual,8,51.605,4.816,14.5,Cloudy,2025-09-17 17:00:00
808,Cans,7,51.6,4.805,8.7,Cloudy,2025-09-17 21:38:00
809,Paper/Cardboard,5,51.612,4.756,13.7,Fog,2025-09-18 00:22:00
810,Glass,7,51.5862,4.7805,22.0,Cloudy,2025-09-18 03:36:00
811,Plastic,9,51.56,4.77,4.0,Cloudy,2025-09-18 05:28:00
812,Plastic,11,51.5955,4.78,11.4,Sunny,2025-09-18 06:24:00
813,Residual,12,51.6,4.765,16.8,Sunny,2025-09-18 07:12:00
814,Paper/Cardboard,0,51.571,4.808,12.5,Storm,2025-09-18 10:10:00
815,Glass,5,51.5862,4.7805,14.2,Storm,2025-09-18 17:59:00
816,Paper/Cardboard,10,51.566,4.788,8.6,Cloudy,2025-09-18 19:09:00
817,Residual,4,51.5905,4.801,4.7,Storm,2025-09-18 19:55:00
818,Residual,8,51.576,4.796,16.7,Sunny,2025-09-19 00:18:00
819,Plastic,6,51.566,4.788,16.0,Cloudy,2025-09-19 04:02:00
820,Residual,8,51.586,4.756,15.3,Cloudy,2025-09-19 13:52:00
821,Plastic,14,51.5894,4.7757,6.9,Sunny,2025-09-19 14:02:00
822,Plastic,16,51.56,4.77,18.9,Sunny,2025-09-19 17:24:00
823,Glass,4,51.55,4.812,21.9,Fog,2025-09-20 00:17:00
824,Residual,7,51.602,4.779,8.9,Cloudy,2025-09-20 00:20:00
825,Electronics,2,51.55,4.812,12.5,Storm,2025-09-20 00:29:00
826,Bulky,8,51.55,4.812,10.5,Sunny,2025-09-20 02:52:00
827,Residual,6,51.571,4.808,9.8,Fog,2025-09-20 10:42:00
828,Residual,9,51.571,4.808,15.4,Cloudy,2025-09-20 10:56:00
829,Plastic,5,51.556,4.824,15.2,Storm,2025-09-20 13:32:00
830,Plastic,9,51.5832,4.7842,13.3,Storm,2025-09-20 16:19:00
831,Cans,12,51.5862,4.7805,7.9,Sunny,2025-09-20 18:35:00
832,Glass,11,51.55,4.812,17.6,Cloudy,2025-09-20 18:50:00
833,Residual,10,51.556,4.824,17.4,Sunny,2025-09-20 20:25:00
834,Bulky,5,51.6,4.805,14.2,Fog,2025-09-21 01:28:00
835,Paper/Cardboard,6,51.566,4.788,14.7,Fog,2025-09-21 02:55:00
836,Paper/Cardboard,6,51.599,4.717,14.0,Rain,2025-09-21 06:48:00
837,Paper/Cardboard,13,51.5832,4.7842,14.8,Sunny,2025-09-21 08:15:00
838,Paper/Cardboard,6,51.5886,4.7766,10.9,Storm,2025-09-21 08:28:00
839,Plastic,10,51.556,4.779,14.6,Cloudy,2025-09-21 10:18:00
840,Plastic,11,51.5832,4.7842,12.2,Rain,2025-09-21 15:54:00
841,Cans,13,51.6,4.765,13.2,Cloudy,2025-09-21 16:11:00
842,Paper/Cardboard,10,51.612,4.756,9.5,Cloudy,2025-09-21 17:53:00
843,Bulky,8,51.576,4.796,14.9,Cloudy,2025-09-21 17:55:00
844,Residual,7,51.571,4.808,11.2,Storm,2025-09-21 18:32:00
845,Glass,3,51.5905,4.801,14.7,Storm,2025-09-21 21:15:00
846,Residual,3,51.597,4.772,13.0,Storm,2025-09-22 00:21:00
847,Plastic,5,51.5955,4.78,11.7,Storm,2025-09-22 02:36:00
848,Glass,3,51.602,4.779,9.6,Cloudy,2025-09-22 03:35:00
849,Residual,6,51.5905,4.801,15.5,Cloudy,2025-09-22 04:34:00
850,Bulky,4,51.605,4.816,9.0,Sunny,2025-09-22 08:50:00
851,Residual,4,51.5862,4.7805,16.4,Storm,2025-09-22 15:00:00
852,Paper/Cardboard,11,51.586,4.756,16.2,Sunny,2025-09-22 15:20:00
853,Residual,3,51.571,4.808,11.0,Rain,2025-09-22 21:42:00
854,Electronics,5,51.568,4.73,12.3,Fog,2025-09-23 13:02:00
855,Paper/Cardboard,10,51.597,4.772,12.1,Sunny,2025-09-23 15:18:00
856,Residual,5,51.612,4.756,12.0,Rain,2025-09-23 20:10:00
857,Residual,4,51.586,4.756,17.8,Rain,2025-09-23 21:01:00
858,Paper/Cardboard,6,51.5887,4.775,4.6,Fog,2025-09-24 08:32:00
859,Paper/Cardboard,3,51.566,4.788,7.1,Rain,2025-09-24 13:35:00
860,Glass,4,51.55,4.812,8.0,Fog,2025-09-24 15:43:00
861,Bulky,2,51.556,4.824,4.8,Storm,2025-09-24 18:49:00
862,Bulky,8,51.597,4.772,9.2,Sunny,2025-09-24 18:59:00
863,Glass,6,51.5886,4.7766,16.5,Storm,2025-09-24 23:53:00
864,Cans,7,51.5905,4.7745,12.3,Fog,2025-09-25 01:36:00
865,Plastic,10,51.5832,4.7842,11.2,Sunny,2025-09-25 03:15:00
866,Residual,3,51.586,4.756,10.7,Fog,2025-09-25 05:09:00
867,Plastic,5,51.5832,4.7842,8.4,Storm,2025-09-25 07:31:00
868,Bulky,5,51.556,4.824,12.4,Rain,2025-09-25 23:11:00
869,Bulky,4,51.6,4.805,14.3,Fog,2025-09-26 03:16:00
870,Electronics,3,51.579,4.743,21.2,Cloudy,2025-09-26 05:45:00
871,Bulky,7,51.573,4.766,14.5,Sunny,2025-09-26 12:54:00
872,Paper/Cardboard,7,51.576,4.796,8.0,Rain,2025-09-26 13:43:00
873,Plastic,11,51.5905,4.801,11.2,Sunny,2025-09-26 16:25:00
874,Plastic,14,51.5832,4.7842,13.7,Sunny,2025-09-26 19:19:00
875,Glass,8,51.56,4.77,13.0,Rain,2025-09-26 20:42:00
876,Residual,11,51.556,4.824,10.2,Sunny,2025-09-26 22:05:00
877,Residual,3,51.602,4.779,11.7,Storm,2025-09-27 01:03:00
878,Paper/Cardboard,3,51.615,4.76,8.8,Rain,2025-09-27 12:30:00
879,Paper/Cardboard,16,51.5886,4.7766,22.4,Sunny,2025-09-27 15:52:00
880,Bulky,6,51.579,4.743,13.7,Cloudy,2025-09-28 01:36:00
881,Glass,1,51.6,4.805,15.5,Storm,2025-09-28 03:24:00
882,Plastic,8,51.612,4.756,12.6,Sunny,2025-09-28 07:11:00
883,Glass,9,51.579,4.743,10.0,Cloudy,2025-09-28 18:09:00
884,Plastic,15,51.556,4.779,9.6,Sunny,2025-09-28 19:34:00
885,Glass,7,51.568,4.73,16.1,Cloudy,2025-09-28 20:48:00
886,Plastic,6,51.5905,4.7745,8.9,Rain,2025-09-28 23:06:00
887,Glass,9,51.5887,4.775,11.7,Sunny,2025-09-29 08:11:00
888,Bulky,3,51.6,4.805,8.6,Fog,2025-09-29 13:25:00
889,Glass,8,51.571,4.808,12.5,Cloudy,2025-09-29 16:52:00
890,Paper/Cardboard,7,51.568,4.73,8.2,Fog,2025-09-29 18:52:00
891,Glass,6,51.566,4.788,13.2,Cloudy,2025-09-29 19:07:00
892,Residual,6,51.579,4.743,12.4,Fog,2025-09-29 20:39:00
893,Residual,5,51.556,4.824,10.2,Cloudy,2025-09-30 02:23:00
894,Residual,6,51.586,4.756,7.4,Cloudy,2025-09-30 12:15:00
895,Residual,7,51.5905,4.801,5.6,Fog,2025-09-30 19:20:00
896,Paper/Cardboard,2,51.586,4.756,13.1,Storm,2025-09-30 23:54:00
897,Plastic,2,51.5955,4.78,16.6,Storm,2025-10-01 02:20:00
898,Cans,6,51.5886,4.7766,9.6,Rain,2025-10-01 04:51:00
899,Plastic,8,51.556,4.824,15.2,Sunny,2025-10-01 13:19:00
900,Paper/Cardboard,3,51.5905,4.801,9.2,Storm,2025-10-01 14:06:00
901,Glass,7,51.615,4.76,10.7,Cloudy,2025-10-01 16:32:00
902,Paper/Cardboard,6,51.576,4.796,15.1,Cloudy,2025-10-01 17:23:00
903,Paper/Cardboard,7,51.568,4.73,18.7,Sunny,2025-10-01 21:45:00
904,Paper/Cardboard,7,51.5905,4.801,6.4,Sunny,2025-10-02 01:56:00
905,Electronics,1,51.615,4.76,4.1,Cloudy,2025-10-02 02:44:00
906,Bulky,2,51.615,4.76,10.7,Cloudy,2025-10-02 04:35:00
907,Paper/Cardboard,3,51.5905,4.7745,8.8,Storm,2025-10-02 06:50:00
908,Paper/Cardboard,8,51.556,4.824,9.9,Sunny,2025-10-02 11:16:00
909,Cans,4,51.576,4.796,2.5,Storm,2025-10-02 11:42:00
910,Residual,6,51.573,4.766,4.8,Cloudy,2025-10-02 12:05:00
911,Electronics,5,51.573,4.766,10.1,Cloudy,2025-10-02 16:55:00
912,Residual,7,51.573,4.766,12.7,Fog,2025-10-02 19:30:00
913,Bulky,2,51.576,4.796,6.9,Rain,2025-10-02 22:43:00
914,Residual,6,51.566,4.788,7.1,Sunny,2025-10-02 23:00:00
915,Paper/Cardboard,5,51.5832,4.7842,11.2,Rain,2025-10-02 23:50:00
916,Paper/Cardboard,0,51.605,4.816,14.2,Storm,2025-10-03 01:47:00
917,Residual,3,51.5894,4.7757,5.9,Storm,2025-10-03 03:00:00
918,Glass,3,51.573,4.766,7.5,Storm,2025-10-03 08:31:00
919,Electronics,3,51.556,4.824,8.7,Rain,2025-10-03 10:57:00
920,Bulky,12,51.597,4.772,17.3,Sunny,2025-10-03 16:54:00
921,Paper/Cardboard,5,51.599,4.717,12.5,Cloudy,2025-10-03 19:10:00
922,Residual,6,51.5905,4.801,7.2,Fog,2025-10-03 19:55:00
923,Paper/Cardboard,6,51.571,4.808,9.5,Cloudy,2025-10-03 22:36:00
924,Bulky,3,51.586,4.756,12.1,Rain,2025-10-03 23:38:00
925,Paper/Cardboard,18,51.5894,4.7757,7.7,Sunny,2025-10-04 00:04:00
926,Paper/Cardboard,4,51.568,4.73,8.8,Sunny,2025-10-04 01:25:00
927,Cans,16,51.58718537216539,4.7778344318006045,16.1,Sunny,2025-10-04 11:11:00
928,Cans,12,51.58857823879738,4.779262576451677,5.5,Rain,2025-10-04 11:15:00
929,Residual,17,51.585336710479886,4.775344134972013,12.4,Sunny,2025-10-04 12:05:00
930,Paper/Cardboard,12,51.584760256011215,4.773505462889318,14.1,Fog,2025-10-04 12:07:00
931,Cans,13,51.586637859310464,4.7790250902082,9.8,Storm,2025-10-04 12:26:00
932,Paper/Cardboard,15,51.58851415039735,4.77903960750711,5.6,Cloudy,2025-10-04 13:21:00
933,Plastic,17,51.58726350208642,4.778683111101881,16.6,Cloudy,2025-10-04 13:23:00
934,Cans,15,51.58766231482959,4.774836094965123,10.6,Fog,2025-10-04 14:03:00
935,Paper/Cardboard,13,51.58651506087915,4.7781483323532115,7.2,Storm,2025-10-04 15:04:00
936,Glass,16,51.588681244056986,4.778411317841772,13.7,Storm,2025-10-04 15:07:00
937,Paper/Cardboard,13,51.576,4.796,11.8,Storm,2025-10-04 15:08:00
938,Cans,17,51.58954847088304,4.779437615142325,5.3,Fog,2025-10-04 17:27:00
939,Paper/Cardboard,15,51.58683999021007,4.779148699185049,10.9,Storm,2025-10-04 18:29:00
940,Plastic,17,51.5862,4.7805,11.6,Cloudy,2025-10-04 18:50:00
941,Residual,19,51.58489796117531,4.778906037512624,9.0,Sunny,2025-10-04 19:02:00
942,Paper/Cardboard,6,51.568,4.73,14.7,Fog,2025-10-04 19:59:00
943,Plastic,17,51.58841174821317,4.778169100432828,7.8,Cloudy,2025-10-04 20:30:00
944,Plastic,11,51.58616777507935,4.778542713925325,14.6,Fog,2025-10-04 20:36:00
945,Paper/Cardboard,14,51.58720444417212,4.77874465112012,13.5,Rain,2025-10-04 21:06:00
946,Paper/Cardboard,10,51.58510147523044,4.778145190094204,7.5,Storm,2025-10-04 21:08:00
947,Paper/Cardboard,16,51.59180693521725,4.776098021762268,14.3,Fog,2025-10-04 21:19:00
948,Cans,12,51.5920218522248,4.779097965748154,13.1,Storm,2025-10-04 22:31:00
949,Paper/Cardboard,11,51.590884609582375,4.7769985105124855,4.8,Storm,2025-10-04 22:45:00
950,Paper/Cardboard,15,51.59030116955399,4.778798592945871,14.1,Storm,2025-10-04 22:59:00
951,Plastic,17,51.58848048028399,4.777911375129156,8.0,Cloudy,2025-10-04 23:06:00
952,Plastic,16,51.58793963028571,4.776041211666194,5.8,Cloudy,2025-10-04 23:13:00
953,Glass,15,51.590058269882064,4.7791161831054465,11.1,Cloudy,2025-10-05 00:12:00
954,Glass,12,51.589746113200185,4.776930377323563,4.9,Rain,2025-10-05 01:16:00
955,Glass,15,51.590042575527875,4.77602623607758,12.3,Sunny,2025-10-05 01:20:00
956,Cans,12,51.587897594197585,4.774814090949854,13.5,Storm,2025-10-05 01:24:00
957,Residual,10,51.602,4.779,10.2,Rain,2025-10-05 01:32:00
958,Cans,16,51.58766558632605,4.775668677320188,16.9,Sunny,2025-10-05 01:50:00
959,Plastic,11,51.588752147063396,4.774383524889991,3.0,Fog,2025-10-05 01:56:00
960,Plastic,11,51.58526063439513,4.774853170693178,10.5,Rain,2025-10-05 02:27:00
961,Glass,10,51.59027436678781,4.777149241136816,14.4,Storm,2025-10-05 02:44:00
962,Plastic,12,51.58724660322417,4.7812887334035326,3.6,Fog,2025-10-05 03:04:00
963,Glass,17,51.58481024947197,4.77590431956226,6.8,Cloudy,2025-10-05 03:18:00
964,Cans,15,51.58631722643405,4.7766111090087335,8.5,Fog,2025-10-05 03:33:00
965,Plastic,10,51.58442667094621,4.776901846397302,5.6,Rain,2025-10-05 03:45:00
966,Glass,15,51.58883687385582,4.780822239390327,8.9,Fog,2025-10-05 05:02:00
967,Cans,15,51.588133113980874,4.776359636721282,12.4,Cloudy,2025-10-05 05:21:00
968,Glass,10,51.58717481370018,4.775390102922212,10.7,Storm,2025-10-05 05:23:00
969,Plastic,16,51.58874136868598,4.776262770918293,12.8,Sunny,2025-10-05 05:24:00
970,Residual,12,51.589281570268504,4.77806226970589,7.4,Rain,2025-10-05 05:24:00
971,Plastic,15,51.5832,4.7842,16.8,Fog,2025-10-05 05:27:00
972,Plastic,13,51.59199393466656,4.777979070411378,12.9,Rain,2025-10-05 05:43:00
973,Cans,9,51.5886,4.7766,4.6,Storm,2025-10-05 06:29:00
974,Paper/Cardboard,10,51.5887,4.775,12.1,Storm,2025-10-05 06:49:00
975,Paper/Cardboard,17,51.587900882324895,4.777769002241402,7.5,Sunny,2025-10-05 07:15:00
976,Residual,10,51.58731725696048,4.778614654673202,10.0,Storm,2025-10-05 07:15:00
977,Residual,13,51.58970635231657,4.777518520917692,6.3,Fog,2025-10-05 07:53:00
978,Paper/Cardboard,12,51.58634416002464,4.777695909838878,12.2,Storm,2025-10-05 08:37:00
979,Plastic,15,51.58841855340156,4.7769518975457625,12.2,Sunny,2025-10-05 09:47:00
980,Glass,18,51.58952370954809,4.780351013153017,11.1,Sunny,2025-10-05 10:00:00
981,Cans,14,51.587558687853516,4.778602226334201,13.8,Rain,2025-10-05 10:52:00
982,Cans,16,51.586,4.756,10.5,Sunny,2025-10-05 10:54:00
983,Cans,16,51.58746701057556,4.776572137082669,9.3,Cloudy,2025-10-05 11:36:00
984,Cans,17,51.590291899002786,4.778782520310468,7.7,Sunny,2025-10-05 12:07:00
985,Plastic,16,51.58860752815104,4.779082711679171,11.1,Cloudy,2025-10-05 12:07:00
986,Paper/Cardboard,14,51.590641009414966,4.779720179028532,8.0,Cloudy,2025-10-05 12:10:00
987,Paper/Cardboard,13,51.5865717378156,4.776639861691943,9.9,Fog,2025-10-05 12:55:00
988,Cans,13,51.58825195443302,4.779326415259653,16.3,Rain,2025-10-05 13:05:00
989,Cans,13,51.58765366759533,4.779042702099189,9.7,Fog,2025-10-05 13:12:00
990,Cans,16,51.585133908025476,4.781438730226732,14.0,Cloudy,2025-10-05 14:11:00
991,Cans,12,51.58570411743509,4.779640432309766,4.7,Rain,2025-10-05 14:16:00
992,Plastic,15,51.58964105695084,4.77721251765555,12.2,Storm,2025-10-05 14:57:00
993,Plastic,14,51.59130398367489,4.777790030587388,10.9,Rain,2025-10-05 15:43:00
994,Residual,18,51.588132044694355,4.777827530890662,15.0,Cloudy,2025-10-05 15:48:00
995,Paper/Cardboard,16,51.59079402077009,4.779068975909655,17.1,Rain,2025-10-05 16:08:00
996,Glass,16,51.58435729931615,4.781505295109102,13.3,Fog,2025-10-05 16:15:00
997,Glass,15,51.587856671889526,4.7746425511706425,11.7,Cloudy,2025-10-05 17:27:00
998,Plastic,18,51.587918507284364,4.779735959868696,12.0,Fog,2025-10-05 17:35:00
999,Paper/Cardboard,14,51.5927947531792,4.780174220396977,11.1,Rain,2025-10-05 17:40:00
1000,Residual,16,51.588884444124076,4.777878153890584,8.9,Storm,2025-10-05 17:47:00
1001,Plastic,12,51.58849435545807,4.777333844017077,-2.1,Storm,2025-10-05 17:58:00
1002,Glass,15,51.58556024851032,4.776338460236789,10.9,Storm,2025-10-05 18:13:00
1003,Plastic,12,51.58916372986891,4.775508809460877,10.4,Rain,2025-10-05 18:39:00
1004,Residual,20,51.582260759950294,4.777030595936097,14.2,Sunny,2025-10-05 18:53:00
1005,Plastic,16,51.591063557781204,4.780015021541972,9.5,Storm,2025-10-05 19:02:00
1006,Glass,16,51.58649421616554,4.776211307907844,9.3,Cloudy,2025-10-05 19:32:00
1007,Cans,14,51.58741738422691,4.7766505913674715,8.8,Storm,2025-10-05 19:33:00
1008,Paper/Cardboard,14,51.58947865205135,4.775676533282131,7.2,Storm,2025-10-05 19:58:00
1009,Cans,18,51.586369427142415,4.7786040823102,13.1,Cloudy,2025-10-05 20:00:00
1010,Residual,10,51.58579867747153,4.777523127298039,10.0,Storm,2025-10-05 20:31:00
1011,Glass,18,51.5904094861668,4.77678352250196,12.0,Sunny,2025-10-05 21:07:00
1012,Glass,11,51.58242586426194,4.7833045833759735,3.9,Storm,2025-10-05 21:10:00
1013,Residual,11,51.58554736232141,4.779157116517568,8.0,Rain,2025-10-05 22:01:00
1014,Glass,17,51.59035636970564,4.780112771172061,7.8,Cloudy,2025-10-05 22:15:00
1015,Cans,13,51.58425339140538,4.778765399508266,9.5,Fog,2025-10-05 22:26:00
1016,Paper/Cardboard,15,51.58904465508571,4.781929271039766,13.6,Cloudy,2025-10-05 22:35:00
1017,Paper/Cardboard,11,51.6,4.805,10.1,Fog,2025-10-05 22:46:00
1018,Cans,9,51.56,4.77,13.2,Fog,2025-10-05 23:36:00
1019,Electronics,1,51.573,4.766,3.3,Fog,2025-10-06 00:12:00
1020,Paper/Cardboard,9,51.556,4.779,11.2,Sunny,2025-10-06 00:33:00
1021,Plastic,5,51.5862,4.7805,7.5,Fog,2025-10-06 00:43:00
1022,Plastic,5,51.6,4.805,12.4,Cloudy,2025-10-06 08:41:00
1023,Paper/Cardboard,7,51.6,4.765,4.0,Fog,2025-10-06 08:45:00
1024,Residual,5,51.612,4.756,12.6,Cloudy,2025-10-06 10:05:00
1025,Plastic,4,51.5905,4.801,9.4,Storm,2025-10-06 14:48:00
1026,Residual,7,51.6,4.765,17.4,Cloudy,2025-10-06 17:36:00
1027,Paper/Cardboard,3,51.573,4.766,3.9,Storm,2025-10-06 19:33:00
1028,Plastic,4,51.571,4.808,10.3,Cloudy,2025-10-07 02:11:00
1029,Plastic,3,51.566,4.788,12.1,Rain,2025-10-07 02:36:00
1030,Electronics,5,51.571,4.808,10.9,Sunny,2025-10-07 06:59:00
1031,Electronics,6,51.612,4.756,12.1,Fog,2025-10-07 16:05:00
1032,Bulky,2,51.5905,4.801,4.6,Storm,2025-10-07 16:16:00
1033,Plastic,7,51.566,4.788,9.5,Fog,2025-10-07 16:20:00
1034,Plastic,10,51.56,4.77,8.6,Sunny,2025-10-07 16:31:00
